attempt,alpha,beta,target,p1,p2,p3,row,rhs
5,1145,1315,(1:3:5;3:0:6),(0:0:0;7:0:4),(6:0:0;7:1:10),(0:0:0;7:0:4),0:2:0:0:0:1:0:0:52,1145
12,249,182,(8:6:10;2:9:3),(5:0:0;10:7:3),(8:0:0;5:5:8),(0:0:0;4:0:7),1:0:0:1:0:0:1:0:1185,249
22,1040,772,(8:10:8;0:1:4),(6:0:0;4:10:1),(8:0:0;5:5:8),(6:0:0;4:10:1),0:0:0:0:2:0:1:0:595,1040
67,626,1030,(3:5:3;0:2:6),(6:0:0;4:10:1),(8:0:0;6:6:3),(6:0:0;4:10:1),0:0:0:0:2:0:0:1:337,626
79,670,889,(1:0:9;2:6:5),(6:0:0;7:1:10),(6:0:0;7:1:10),(6:0:0;7:1:10),0:0:0:0:0:3:0:0:478,670
80,854,341,(5:5:4;1:7:2),(6:0:0;7:1:10),(6:0:0;7:1:10),(5:0:0;1:4:8),0:0:1:0:0:2:0:0:1026,854
110,700,355,(9:1:0;1:2:10),(0:0:0;7:0:4),(8:0:0;6:6:3),(0:0:0;7:0:4),0:2:0:0:0:0:0:1:1012,700
126,345,943,(5:3:7;8:2:7),(8:0:0;5:5:8),(8:0:0;5:5:8),(5:0:0;10:7:3),0:0:0:1:0:0:2:0:424,345
149,1090,1171,(2:9:0;8:8:10),(0:0:0;4:0:7),(6:0:0;7:1:10),(0:0:0;4:0:7),2:0:0:0:0:1:0:0:196,1090
